station_id,name,lat,lng,borough,capacity
3180.09,Albemarle Rd & E 21 St,40.64741,-73.95933,Brooklyn,24
3184.07,New Utrecht Ave & 9 Ave,40.646249287052434,-73.99452600971485,Brooklyn,25
3187.01,Beverley Rd & E 49 St,40.64621,-73.93067,Brooklyn,20
3188.04,Rugby Rd & Albemarle Rd,40.64672,-73.96637,Brooklyn,21
3192.05,7 Ave & 41 St,40.647379,-74.000911,Brooklyn,27
3199.01,Caton Ave & E 7 St,40.647718,-73.973663,Brooklyn,23
3202.06,48 St & 5 Ave,40.646351,-74.009271,Brooklyn,24
3205.06,Brooklyn Ave & Tilden Ave,40.64725,-73.94352,Brooklyn,18
3208.07,Dahill Rd & 12 Ave,40.646037,-73.980963,Brooklyn,22
3211.06,53 St & 2 Ave,40.64744,-74.018846,Brooklyn,22
3214.04,Tilden Ave & Lott St,40.64661,-73.95401,Brooklyn,20
3220.01,58 St & Pier 4,40.646475,-74.026081,Jersey City,23
3223.07,Ocean Ave & Tennis Ct,40.64873,-73.96084,Brooklyn,23
3229.07,E 48 St & Tilden Ave,40.64795,-73.93182,Brooklyn,19
3230.01,Caton Ave & E 10 St,40.648481,-73.97058,Brooklyn,25
3233.02,5 Ave & 44 St,40.64865,-74.00646,Brooklyn,23
3233.06,44 St & 6 Ave,40.647105,-74.004483,Brooklyn,15
3240.15,Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673,Brooklyn,26
3243.02,47 St & 3 Ave,40.649143,-74.012384,Brooklyn,20
3246.06,New York Ave & Snyder Ave,40.64868,-73.94635,Brooklyn,20
3253.01,52 St & 1 Ave,40.649292,-74.020105,Jersey City,21
3256.04,Bedford Ave & Albemarle Rd,40.64796,-73.9556,Brooklyn,21
3263.01,E 18 St & Church Ave,40.64958,-73.96316,Brooklyn,26
3266.01,7 Ave & 40 St,40.648169,-74.000057,Brooklyn,23
3272.01,E 8 St & Caton Ave,40.648055,-73.972432,Brooklyn,24
3275.03,45 St & 4 Ave,40.649145,-74.009486,Brooklyn,25
3278.07,Brooklyn Ave & Snyder Ave,40.64915,-73.94368,Brooklyn,18
3280.04,Fort Hamilton Pkwy & E 2 St,40.648005,-73.979342,Brooklyn,23
3283.05,48 St & 2 Ave,40.650176,-74.015606,Brooklyn,18
3286.07,Rogers Ave & Snyder Ave,40.6487143313713,-73.95207855180962,Brooklyn,22
3294.03,E 21 St & Church Ave,40.65007,-73.96001,Brooklyn,24
3300.04,E 49 St & Church Ave,40.65182,-73.93135,Brooklyn,20
3300.06,Snyder Ave & Schenectady Ave,40.65,-73.93296,Brooklyn,17
3303.03,Caton Ave & Argyle Rd,40.649681,-73.967829,Brooklyn,25
3306.03,5 Ave & 41 St,40.649983,-74.005144,Brooklyn,26
3309.04,Church Ave & E 42 St,40.65127,-73.93818,Brooklyn,20
3312.07,Prospect Ave & Greenwood Ave,40.651745,-73.975988,Brooklyn,25
3315.05,44 St & 3 Ave,40.651173,-74.011405,Brooklyn,20
3318.05,E 34 St & Church Ave,40.65116,-73.94577,Brooklyn,20
3327.01,Lott St & Erasmus St,40.64949,-73.95408,Brooklyn,20
3335.09,Caton Ave & St. Pauls Pl,40.65153,-73.96277,Brooklyn,25
3341.06,Church Ave & E 45 St,40.65159,-73.93535,Brooklyn,18
3344.02,Park Circle & East Dr,40.651566,-73.972212,Brooklyn,32
3347.03,41 St & 4 Ave,40.651354,-74.007168,Brooklyn,22
3350.04,E 38 St & Church Ave,40.65106,-73.94193,Brooklyn,20
3353.04,Greenwood Ave & E 4 St,40.650739,-73.977739,Brooklyn,23
3356.05,44 St & 2 Ave,40.652502,-74.013587,Brooklyn,20
3356.07,2 Ave & 44 St,40.65230357303063,-74.01344954967499,Brooklyn,15
3359.01,Church Ave & Nostrand Ave,40.65074,-73.94986,Brooklyn,23
3359.03,Linden Blvd & Nostrand Ave,40.65272,-73.94994,Brooklyn,24
3368.04,Caton Ave & Bedford Ave,40.65237,-73.95623,Brooklyn,29
3373.01,E 51 St & Linden Blvd,40.65399,-73.92967,Brooklyn,20
3376.02,Parade Pl & Crooke Ave,40.651847,-73.965248,Brooklyn,27
3376.04,Parkside Ave & Parade Pl,40.6532,-73.96639,Brooklyn,25
3379.03,5 Ave & 37 St,40.652657,-74.002356,Brooklyn,24
3382.04,Troy Ave & Linden Blvd,40.6533,-73.93644,Brooklyn,19
3385.06,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,Brooklyn,27
3388.02,41 St & 3 Ave,40.652512,-74.008906,Brooklyn,19
3388.03,40 St & 3 Ave,40.6535,-74.00902,Brooklyn,19
3391.1,E 34 St & Linden Blvd,40.65302,-73.94599,Brooklyn,20
3394.03,McDonald Ave & Vanderbilt St,40.651654,-73.981231,Brooklyn,22
3400.04,Rogers Ave & Lenox Rd,40.65378286163502,-73.95270188179111,Brooklyn,26
3408.05,Ocean Ave & Crooke Ave,40.65326,-73.96172,Brooklyn,24
3420.01,36 St & 4 Ave,40.654144,-74.00422,Brooklyn,29
3423.1,Clarkson Ave & E 40 St,40.65592,-73.94068,Brooklyn,22
3426.02,Prospect Ave & Vanderbilt St,40.653368,-73.976291,Brooklyn,24
3428.02,42 St & 1 Ave,40.654798,-74.014372,Brooklyn,20
3428.04,2 Ave & 43 St,40.65292829363811,-74.01286482810974,Brooklyn,15
3431.02,New York Ave & Lenox Rd,40.65458,-73.94716,Brooklyn,24
3439.03,Bedford Ave & Clarkson Ave,40.65519,-73.9564,Brooklyn,27
3445.05,E 54 St & Linden Blvd,40.65417,-73.9268,Brooklyn,19
3448.02,Parkside Ave & Ocean Ave,40.65485,-73.96217,Brooklyn,35
3451.01,34 St & 5 Ave,40.654098,-74.001131,Brooklyn,23
3454.01,Clarkson Ave & Troy Ave,40.65630069792407,-73.93647529780917,Brooklyn,20
3457.03,Prospect Park SW & Vanderbilt St,40.65482,-73.973217,Brooklyn,28
3460.01,2 Ave & 36 St,40.65708866668485,-74.00870203971863,Brooklyn,22
3460.02,36 St & 3 Ave,40.655716,-74.006664,Brooklyn,27
3460.04,2 Ave & 37 St,40.656326,-74.009627,Brooklyn,15
3460.05,2 Ave & 39 St,40.655722167971554,-74.01000827550888,Brooklyn,15
3460.06,2 Ave & 37 St,40.65624,-74.00933,Brooklyn,15
3463.01,Clarkson Ave & E 37 St,40.65577,-73.9432,Brooklyn,24
3472.03,Clarkson Ave & Nostrand Ave,40.6555,-73.94975,Brooklyn,25
3480.04,Parkside Ave & Flatbush Ave,40.65563,-73.95968,Brooklyn,28
3486.02,Clarkson Ave & Utica Ave,40.65666,-73.93109,Brooklyn,20
3492.04,34 St & 4 Ave,40.655278,-74.003101,Brooklyn,15
3495.08,Lenox Rd & E 43 St,40.65496,-73.93765,Brooklyn,20
3498.09,Prospect Park SW & 16 St,40.657265,-73.974165,Brooklyn,29
3501.01,39 St & 2 Ave,40.6553997745,-74.0106278658,Brooklyn,23
3504.02,New York Ave & Hawthorne St,40.65794,-73.94735,Brooklyn,23
3507.04,Prospect Park W & 20 St,40.656633,-73.983864,Brooklyn,24
3512.03,Winthrop St & Rogers Ave,40.65686,-73.95331,Brooklyn,25
3515.01,7 Ave & 22 St,40.658029,-73.989605,Brooklyn,24
3518.04,Clarkson Ave & E 91 St,40.65809,-73.9247,Brooklyn,20
3520.01,Flatbush Ave & Fenimore St,40.65798,-73.96051,Brooklyn,25
3523.06,29 St & 5 Ave,40.656986,-73.998194,Brooklyn,20
3526.04,Winthrop St & Schenectady Ave,40.6582,-73.9338,Brooklyn,19
3532.02,2 Ave & 32 St,40.659176,-74.006584,Brooklyn,23
3535.03,Winthrop St & Albany Ave,40.6577,-73.9398,Brooklyn,22
3538.09,11 Ave & Prospect Ave,40.65629,-73.977335,Brooklyn,29
3544.02,Winthrop St & Nostrand Ave,40.65707,-73.95005,Brooklyn,24
3547.04,19 St & 8 Ave,40.658489,-73.985543,Brooklyn,22
3552.09,Bedford Ave & Fenimore St,40.65815,-73.95674,Brooklyn,26
3555.04,24 St & 5 Ave,40.659555,-73.995068,Brooklyn,27
3558.01,E 52 St & Winthrop St,40.65831,-73.92919,Brooklyn,18
3564.04,30 St & 4 Ave,40.657743,-74.001141,Brooklyn,22
3567.05,Rutland Rd & E 45 St,40.66034,-73.93618,Brooklyn,19
3576.1,Rutland Rd & Brooklyn Ave,40.65969,-73.94517,Brooklyn,23
3579.04,Windsor Pl & Howard Pl,40.65949055893896,-73.98013919591904,Brooklyn,28
3583.04,Riverdale Ave & E 98 St,40.65984,-73.91685,Brooklyn,15
3585.06,Nostrand Ave & Rutland Rd,40.6595,-73.95041,Brooklyn,25
3588.01,7 Ave & 20 St,40.659053,-73.98854,Brooklyn,25
3591.05,E 93 St & Winthrop St,40.66069,-73.92491,Brooklyn,18
3593.01,Maple St & Flatbush Ave,40.66026,-73.96045,Brooklyn,28
3593.1,Flatbush Ave & Lincoln Rd,40.66131,-73.96091,Brooklyn,31
3596.04,4 Ave & 26 St,40.660079,-73.998633,Brooklyn,27
3599.01,Midwood St & Utica Ave,40.66124,-73.93164,Brooklyn,15
3608.06,Maple St & Albany Ave,40.66155,-73.93974,Brooklyn,22
